ID	발행연월	록키 워드 
380	2011	생태학 야생 거주 퍼포먼스 생태 공포증 생태 숭고 
381	2010	역사 중심 옛길 필요 옛길 역사 가치 정취 숨 길 서울 역사 정체성 확인 요소 전면 철거 방식 도시 환경 정비 사업 추진 전통 도시 구조 해체 골목길 중심 마을 단위 커뮤니티 소멸 현실 보행 환경 개선 가로 사업 특성 역사 파악 구현 물리 환경 개선 치중 보행 환경 개선 사업 보도 심미 개선 차량 중심 보행자 중심 가로 인식 전환 기여 주민 적극 참여 지속 보전 관리 노력 부족 실정 민관 협력 지속 옛길 복원 옛길 사업 성공 사례 대부분 역사 복원 주민 참여 강조 중국 항 주시 하방 가의 전통 상업 가로 복원 역사 고증 자료 토대 하방 가의 정취 복원 물리 복원 전통 상업 점포 하방 고유 역사 분위기 체험 일본 오사카 시의 경우 지역 주민 구성 부흥 위원회 전 소 전통 골목 상가 지역 복원 전통 보전 문화 창조 지역 주민 간 협력 노하우 공유 골자 도시 헌장 제정 실행 우리나라 대구 근대 문화 골목길 주민 전문가 구성 근대 문화골목 타운 미팅 옛길 사업 성공 추진 사례 지역 주민 공감대 형성 주민 의견 수렴 골목길 주변 역사 문화 자원 스토리텔링 연계 지역 활성 역사 도시 정체성 확보 옛길 전략 서울 도심 옛길 성공 추진 옛길 역사 가치 발굴 역사 의미 서울 이미지 브랜드 전략 필요 역사 중심 옛길 사업 추진 옛길 역사 정취 보전 특성 방향 정비 사업 방식 전환 필요 골목길 중심 형성 커뮤니티 고유 가치 존중 특성 주민 참여 규모 개발 시범 사업 추진 필요 일 관성 지속 유지 관리 옛길 기본 원칙 주민 공감대 
382	2015	글 대한제국 칙령 개항 장인 목포 지주 존재 형태 지주 네트워크 기존 주목 목포 상업 상인 농업 지주 주목 지주 네트워크 개항 장 목포 로 컬리 티 형성 역할 개항 양 항 목포 일본 농업 회사 조선인 일본인 지주 지주 미곡 생산력 효율 증가 목포 농담 회 목포 농회 활용 수취 미곡 운반 목포 교통 운수 시설 지주 자본가 성장 기반 목포 조선인 일본인 지주 목포 농담 회 목포부 협의회 활동 사회 네트워크 형성 문재철 서인 섭 대표 목포 지주 이익 창출 농사 개량 소작료 징수 소작 쟁의 대응 지주 네트워크 적극 활용 산업 단체 회사 이후 적극 가담 조선인 일본인 지주 농업 자본 축적 자본 전환 단계 개항 장 목포 지주 자본가 식민지 근대 형성 주체 중 농업 단체 정치 경제 기관 활동 형성 중층 네트워크 토대 사회 경제 문화 영역 영향 개항 장 형성 지주 네트워크 식민지 조선 특성 민성 근대성 모두 내포 채 목포 지역 형성 개항 장 목포 지주 네트워크 목포 농담 회 목포부 협의회 농업 자본가 
383	2013	회 부천국제학생애니메이션 페스티벌 방문객 명 대상 인식 조사 분석 방문객 인식 측정 축제 인지도 축제 축제 인프라 축제 프로그램 축제 충성 조사 항목 설정 통계 분석 요인 분석 분산분석 상관관계 분석 회귀분석 중심 분석 결과 충성 영향 요인 축제 프로그램 요인 축제 인프라 요인 방문객 충성 인지도 인프라 프로그램 인식 전반 보통 수준 상회 수준 비교 평가 거주 지역 성별 연령 방문 횟수 집단 간 차이 분석 앞 방문객 특성 지속 분석 프로그램 기획 마케팅 성과 관리 체계 활용 필요 회 회 국내 대표 학생 애니메이션 축제 동안 방문객 특성 점 고려 향후 방문객 조사 체계 구축 준거 자료 활용 애니메이션 축제 축제 충성 문화 도시 애니메이션 정책 
384	2012	질서 현재 도시 환경 중 가로 대표 외부 도시 커뮤니티 장 가로 자동차 통행 기능 가로 일반 도시민 보행 공유 생활공간 시각 생활공간 보행 보행 존재 보행 특징 활동 행태 목적 기존 조성 중심 상업 가로 대상지 이용 행태 특성 특성 파악 현황 조사 분석 결과 정리 통로 이용 인식 보행 외측 중앙 내측 분류 걷기 보행 행태 조합 커뮤니티 형성 가로 보행 이용 행태 요소 
385	2015	논문 영상 인문 치료 모색 문제의식 출발 영상 전공 학생 대상 진행 영상 자화상 실천 결과 영상 활용 인문 치료 방법 영상 자화상 치료 영상 자화상 치료 글쓰기 자서전 성격 고민 다 큐 에세이 자전 다큐멘터리 작품 착상 통합 구성 영상 제작 치료 실천 방법 영상 활용 인문 치료 방법 영상 자화상 사건 중심 자서전 글쓰기 주제 중심 비 연대기 파편 특성 가족 주위 사물 재현 대상 구성 특징 논문 실천 결과 특징 영상 자화상 치료 유의미 다음 정리 치료 장 영상 자화상 영상 의식 개념 동일시 핵심 고정 정서 정동 회상 분위기 형성 자연 공감 점 동시 상담자 영상 상대 주관 폐쇄 반응 자신 이야기 방법 기술 필요 점 인문 치료 영상 자화상 영상 반성 자서전 
386	2012	해안 경제 가치 창출 기대 문화 공공 사용 증가 개발 자연 훼손 사용자 간 충돌 문제점 발생 해결 국외 해양 관리 제도 관리 방안 해안 디자인 가이드라인 중 해안 도시 구조 축 설정 특정 시설물 형태 재질 색채 사항 지시 국내 해안 이용 수요 급증 관리 환경 보호 디자인 가이드라인 부재 국내외 지방 정부 기관 발행 문헌 자료 바탕 해안 디자인 가이드라인 개발 현황 선행 사례 분석 시사점 도출 가이드라인 목차 세부 내용 구성 체계 파악 해안 디자인 가이드라인 디자인 대상 고려 특수 여건 적용 프로그램 도출 미국 샌프란시스코 만 블루 린웨이 디자인 가이드라인 고려 해안 프로그램 계획 도로 디자인 지침 통합 사인 시스템 디자인 제시 구체 샌프란시스코 만 연안 공공 접근 디자인 가이드라인 접근성 강화 목표 물리 시각 접근 디자인 지침 제시 호주 뉴 사우스 웨일스 해안 디자인 가이드라인 주거지 유형 각각 지형 성장 잠재력 상황 디자인 지침 제시 마지막 일본 카 사키 시 임 해부 색채 가이드라인 공장 구조물 지구 색채 범위 배색 예시 제공 사례 분석 도출 해안 디자인 가이드라인 개발 고려 사항 다음 해안 풍토 경관 지형 고려 일반 차별 장기 관점 디자인 지침 해안 자연 인간 거주 민 방문객 간 충돌 방지 활동 구역 경계 개발 이용자 수요 현황 분석 주변 지역 연계 통합 해안 디자인 가이드라인 필요 물리 시각 내용 디자인 방안 제시 해안 디자인 가이드라인 디자인 대상 도심 특수 고려 사항 도출 국내 해안 맞춤 디자인 가이드라인 개발 기초 자료 활용 연안 해안 디자인 가이드라인 
387	2011	부산 영화 로 중심 영화 로 케도 시로 부산 도시 특성 분석 기본 목적 과정 단계 진행 단계 문헌 영화 도시 부산 변천 과정 동기 격동기 기반 형성 도약 발전기 구분 시대 변천 특성 추출 단계 문헌 현장 조사 로케이션 지역 구분 유형 특성 로 관리 실태 분석 단계 단계 종합 영화 로 케도 시로 부산 잠재력 평가 부산 로 내재 속성 근대성 민성 해양 양면 현장 도출 영화 로 케도 시로 부산 가치 규명 로 보호 발굴 도시 재생 과정 제안 영화 로 케도 시로 부산 특성 정립 시도 부산 원 풍경 활용 도시 관리 패러다임 정립 시사점 제공 판단 로케이션 영화 도시 창조 도시 도시 재생 부산국제영화제 
388	2013	현대문학 10월 호 백인 단편소설 이다 백인 파주 배경 혼혈아 기지 촌 사람 삶 형상화 사상계 4월 호 발표 세끼 미 전광용 단편소설 작품 혼혈아 심리 변화 서울 도심지 이동 구체 표현 세끼 미 묘사 1960년대 파주 기지 촌 서울 도심지 모습 사실 기반 묘사 실제 작가 백인 전광용 내포 작가 탄생 마리아 일상 사실 재현 세끼 미 등장 서술자 초점 화자 마리아 자신 거주 말 개입 파주 기지 촌 이주한 아버지 거주 서울 집 상실 마리아 청파동 집 부모 정 낯선 서술자 초점 화자 의식 재현 서술자 자신 논평 자제 초점 화자 숨 덕분 마리아 응시 정체성 형성 일련 사건 객관 전달 초점 화자 응시 몸 근원 피부색 외양 우리 차별 경험 기억 저장 몸 몸 개인 타인들 관계 소통 기점 사회 자리 잡기 토대 점 사회 배제 차별 고통 혼혈아 정상 자유 관계 기대 마리아 포함 혼혈아 몸 미국 흑백 위계 계층 피부 흑인 혼혈아 피부 백인 혼혈아 마리아 경험 정체성 형성 한계 세끼 미 분석 백인 전광용 세끼 미 혼혈아 정체성 몸 
389	2013	미디어 파사드 개념 속성 사회 공감대 형성 상태 적용 사례 증가 서울시 관리 필요 관리 체계 혼란 야기 실정 논문 서울시 미디어 파사드 관리 체계 분석 문제점 도출 해외 사례 조사 시사점 바탕 서울시 미디어 파사드 관리 방안 실효 제고 개선 방안 제시 미디어 파사드 관련 제도 강화 필요 세부 사항 빛 공해 조례 관리 심의 대상 명시 건축물 허가 제도 연계 심의 절차 개선 빛 공해방지법 근거 빛 공해 조례 개선 명령 벌칙 기준 보완 허용 구역 미디어 파사드 입지 관리 세부 사항 금지 구역 허용 구역 지정 방식 효율 허용 여부 지역 접근 도모 미디어 파사드 통합 관리 기준 세부 사항 미디어 파사드 기본 계획 수립 허용 구역 기본 원칙 제시 허용 구역 경관 계획 수립 구역 특성 강화 미디어 파사드 빛 공해 조례 허용 구역 통합 기준 
390	2014	변영로 시 주체 미 실천 역사 실천 이중 과제 수행 과정 거리 길 도시 시골 근대 전근대 공존 대립 인식 논문 변영로 시 거리 길 표상 양상 확인 한국 근대 거리 길 표상 도시 시골 표상 분리 과정 장 거리 시적 주체 도시 풍경 감각 체험 자신 정서 표출 거리 경험 표현 외로움 시적 주체 정서 반응 도시 근대성 시적 주체 문제 인식 간접 장 길 물리 이동 경로 이자 시적 주체 지향 대상 상상 지향 경로 이다 시적 주체 상상 지향 길 끝 자리 시적 구조 장 거리 도회 표상 길 시골 고향 장 소성 공유 표상 사용 시 도시 거리 시적 주체 자연 시골 고향 편안 근원 상실 채 근대 도시 주체 숙명 인식 변영로 근대성 도시 핵심 파악 변영로 거리 길 표상 도시 시골 성 근대성 도시 
391	2013	문화 경제 시대 도래 사람 삶의 질 제고 소프트 도시 환경 요구 도시 색채 디자인 문화가치 창출 경제 효율 만족 경제성장 기여 도시 전락 목적 낙후 지역 색채 디자인 재활 성화 도모 성공 도시 사례 데이터 구축 지속 도시 색채 디자인 효과 시사점 도출 범위 도시 문화 아이덴티티 확장 문화 경제 가치 획득 영국 런던 브릭레인 자치구 사례 방법 논문 저서 보고서 인터넷 활용 이론 접근 대상 도시 방문 관찰 측색 분류 분석 사례 병행 결과 다음 창의 도시 색채 디자인 낙후 지역 재생 주민 의견 수렴 장 소성 창출 고유 문화 다 문화 요소 대비 조화 팝 아트 이미지 창출 마지막 도시 색채 디자인 지속 색채 문화 환경 조성 방문객 투자 증가 경제 부가가치 창출 기여 앞 지속 도시 정책 전략 분야 도시 색채 디자인 작용 기대 런던 도시 색채 디자인 도시 브랜드 재활 성화 전략 지속 
392	2015	지형 건축 땅 맥락 영역 융합 
393	2011	고층 빌딩 도심 포켓 파크 규모 시민 휴식 제공 공원 역할 도시 환경 개선 기여 가치 논문 포켓 파크 디자인 현황 분석 조성 실태 포켓 파크 통합 디자인 가이드라인 기초 자료 제공 목적 서울시 추진 도심재창조 프로젝트 포켓 파크 범위 선정 여건 구성 요소 조성 실태 분석 대상지 평면도 바탕 현장 답사 실시 방법 조경 건축 측면 포켓 파크 논문 서적 보고서 고찰 바탕 진행 환경 자극 시각 반응 초점 심리 지각 작용 연상 작용 형태 주제 디자인 원리 분석 결과 포켓 파크 대상지 사용 형태 주제 사각 원 형태 활용 기하학 형태 주제 구성 정형 통일 조성 형태 주제 활용 한정 성 과편 중성 인해 정체성 반영 계획 포켓 파크 입지 여건 고려 형태 주제 사용 주변 환경 연계 요소 간 조화 상호 관계 형성 한계 점 시민 관광객 활력 매력 도심 포켓 파크 구성 요소 간의 통합 디자인 통일 포켓 파크 구성 다양성 상호 관련성 디자인 추구 우수 디자인 포켓 파크 기업 이미지 제고 홍보 매개체 역할 도심 환경 개선 경관 미로 디자인서울 발전 기여 도시 이미지 표현 지역 경쟁력 계기 포켓 파크 형태 주제 디자인 원리 디자인 가이드라인 구성 요소 
394	2015	이리 유사 쿠 미야자키 이 타로 1940년대 전반기 조선 문단 활동 조 일본인 작가 문학 전쟁 대동아공영권 건설 일본 국책 조선 관계 본고 작가 소설 비교 분석 태평양전쟁 조 일본인 작가 글쓰기 특징 조 일본인 아이덴티티 문제 생각 수록 작가 소설 조선 미와 풍속 잡지 관심 부합 특징 유사 쿠 조선인 계몽 서사 국가 귀속 강조 이 타로 조선인 조 일본인 공존 일상 음식 문화 동아 문화 우수 전달 수록 작가 소설 전시 체제 반도 내면 일상 유사 쿠 조선인 국가 인가 타진 서사 구성 이 타로 모범 국민 조 일본인 일상 제시 이 타로 과정 불평 위반 질서 경성 시가지 실상 부각 결과 작가 소설 비교 우의 환상 도입 이리 유사 쿠 서사 식민 지배자 태도 명시 조선 생활 디테일 리얼 반영 미야자키 이 타로 서사 조선인 일본인 성찰 태도 미야자키 이 타로 조선인 조 일본인 사이 존재 위계 구조 침묵 조 일본인 아이덴티티 회귀 결론 형상화 방식 조선 제국 일본 일부 의미 태평양전쟁 조 일본인 작가 이리 유사 쿠 미야자키 이 타로 문화 조선 반도 문학 선집 동아 문화 일상 
395	2011	이카 이노 오사카 이쿠 노구 이카 이노 일본 조선인 취락 우리말 일상 이웃 간 정이 장 소라면 이카 생각 정도 상징 재일 코리안 표상 자리 이카 이노 시간 국가 네트워크 주민 활동 간의 토착민 사이 상호작용 결과 형성 디아스포라 정주 민 뿌리 동네 역설 효력 발생 이카 이노 재일 코리안 기억 재현 이카 이노 정치 세계 질서 변화 다 문화 공생 관광 호출 이카 이노 재현 배제 배치 근대 주체 욕망 이카 이노 작가 문학 기록 국가 집단 기록 대항 대항 기억 하위 서사 셈 재일 조선인 정도 보통 동네 일본 치안 이카 이노 이카 이노 대항 이카 이노 역사 사람 기억 재현 재일 코리안 작가 작업 이쿠 재배치 문제 연결 재일 코리안 디아스포라 구성 의지 발현 이카 이노 재일 코리안 디아스포라 로 컬리 티 재현 
396	2014	과학 축제 이벤트 특성 체험 속성 
397	2013	영남 지역 기행 가사 규방 가사 여성 가사 지역 문학 유람 여행 
398	2013	사건 존재 실존 의미 생성 
399	2012	현대 공공 참여 주체 갈등 유발 해소 지역 관리 운영 프로그램 동성로 공공 디자인 개선 사업 
400	2011	근대성 중심성 문제 극복 중심 근대 담론 확산 동안 배제 주체 대상 관심 확산 시작 지역 지방 소수 자 주변 식민 개별 영역 중층 복합 발견 현상 지역 지망 로 컬리 티 개별 특수 발견 과정 성원 삶 공동체 복원 자율 능동 운동 확장 논문 로컬 형태 구체 실천 현황 점검 로 컬리 티 규정 구성 논문 먹거리 중심 생협 운동 교육 영역 도서관 생활 영역 풀뿌리 자치 공동체 문화 영역 문화 공동체 실천 사례 대상 풀뿌리 활동 초기 단계 활동 내용 정보 통로 소개 곳도 시간 역량 부족 사례 포함 곳도 로컬 활동 풀뿌리 공동체 공동체 형성 발전 과정 경험 공동체 경험 성공 실패 공동체 발전 과정 모델 동시 내용 기획 사업 중복 풀뿌리 전체 역량 소진하 성과 배가 기회 결과 대부분 풀뿌리 자치 운동 활동가 시민 사화 영역 단체 활동가 지역 연구가 전문가 모두 네트 워킹 필요 요구 르 로컬 로 컬리 티 풀뿌리 커뮤니티 네트 워킹 
401	2015	세계화 시대 도래 지역 기반 지역 경쟁력 강조 지역 문화 포괄 개념 개발 목표 마케팅 논의 진행 뮤지 엄 분야 가치 보호 지역 지속 발전 추구 에코 뮤지 엄 등장 관람객 체험 중시 마케팅 개념 적용 마케팅 관점 에코 뮤지 엄 관련 미비 실정 마케팅 관점 에코 뮤지 엄 가치 에코 뮤지 엄 디자인 전략 실질 제언 목적 연구자 마케팅 관점 디자인 요소 도출 에코 뮤지 엄 개념 마케팅 디자인 요소 에코 뮤지 엄 자산 분석 틀 사례 분석 진행 결과 연구자 에코 뮤지 엄 사이트 간 이동 거리 시간 고려 발견 길 몰링 유도 역사 건축물 보존 맥락 전시 개발 컨셉트 라인 유지 지역 상징 건축물 중심 랜드마크 형성 동선 의미 강화 지역 고유 매력 자산 활용 코어 어 트랙 션 개발 방문자 체험 프로그램 참여 유도 강화 확인 지방 자치 배경 지역 간의 균형 발전 지역 보호 관심 증대 마케팅 관점 에코 뮤지 엄 기초 관련 활성 이바지 기대 
402	2012	신경림 쇠 무지 벌 관심사 로컬 고유 삶 풍물 정서 친화 감 우리나라 파행 근대화 과정 기반 해체 로컬 인 삶 이념 의식 글 목표 쇠 무지 벌 고유 로 컬리 티 근대성 매몰 로컬 인간 회복 가치 확인 쇠 무지 벌 로컬 인 황 밭 흙 몸 삶 생명력 마당 신명 가락 공동체 의식 형성 쇠 무지 벌 사람 정체성 생명력 공동체 의식 쇠 무지 벌 황 밭 마당 관련 로컬 인 주체성 자주성 쇠 무지 벌 역동 원동력 신경림 남한강 쇠 무지 벌 로컬 로 컬리 티 애착 
403	2015	정일 남은 신춘문예 신춘문예 시조 현대문학 등단 지금 시집 상재 등단 당시 현역 광부 광부 시인 특유 서정 세계 유지 지금 지속 시작 활동 글 지금 학술 조명 대상 정일 남 시 세계 접근 시도 시 세계 시집 반증 학술 고찰 양 수위 1970년대 전후 1980년대 민중 문학사 보완 맥락 정일 남 시 한국 문학사 필수 요소 해당 본고 문학 사회학 관점 정일 남 시가 문학사 위상 논 정일 남은 동예 발간 1960년대 삼척 지역 문학 장 구성 정일 남 광시 특징 주목 광산 산업 당대 한국 사회 산업 구조 핵심 기제 삶 바탕 전문 시 세계 형성 면모 문학사 성과 중심 정일 남 시 학술 의미 논 정일 남 시 고향 위시 고유 자리 시화 양상 배면 자연 요소 존재 자연 정일 남 시 성찰 의적 의미 파생 핵심 기제 반복 등장 정일 남 시 강원 영동 문단 문학 장 일 세대 의의 영향력 채 현재 정일 남 강원 영동 지역 문학 로 컬리 티 자연 광시 
404	2010	정보통신기술 발달 일상생활 기술 촉진 디지털 현실 경계 무화 현상 사람 디지털 추구 욕구 현실 구현 욕구 자연 결과 삶 생산 놀이 일치 사람 일상생활 현실 자체 테마파크 속성 침투 특정 단일 시퀀스 아래 테마 기법 장치 활용 스토리텔링 이다 오늘날 기획 적용 스토리텔링 활용 양상 대부분 환상 경도 모습 일상 자연 환상 투여 스토리텔링 활용 방법론 유보 상황 본고 주거 일상 자연 방식 환상 부가 방법 개발 실제 수행 용역 작업 바탕 이야기 주거 창조 주 청원 건설 발주 일산 위 시티 스토리텔링 기본 계획 수립 용역 바탕 기술 집 애착 우리나라 입주민 성향 고려 주거 스토리텔링 개발 해당 지역 혼 정신 개념 수단 활용 혼 정신 입주민 향유 창조 주거 단지 부과 창조 일회 지속 향유 가치 유지 방식 입주민 축제 이벤트 기초 토양 관련 본고 기반 해당 지역 단지 서사 창출 과정 전개 최종 도출 단지 서사 원 소스 스토리텔링 적용 전략 효과 동선 구성 모델 제시 마지막 입주민 참여 주거 이야기 자신 이야기 체 축제 이벤트 기획 예시 본고 국내 주거 스토리텔링 작업 구체 점 의의 주거 성격 내용 기법 스토리텔링 방식 차후 후속 논의 집적 필요 스토리텔링 스토리텔링 혼 창조 테마 
405	2010	세계 대도시 보행 활력 도시 커뮤니티 거주 주목 가로 확보 노력 뉴욕 에 뉴 베를린 터 린드 바르셀로나 보행 활력 세계 가로 이다 도시 가로 아이덴티티 형성 보행 활성 가로 가로 건물 전면 디자인 개념 적용 건물 전면 사유지 가로 통합 디자인 유도 한계 사실 한계 인해 서울시 보행 환경 정책 건물 전면 디자인 개념 보행자 개성 가로 환경 양산 보행자 배려 서울 가로 환경 서울시 보행 정책 보행자 밀집 가로 사업 구간 사업 추진 경향 보도 구조 개선 보도 포장 간판 정비 사업 집중 건물 전면 산재 차 경사 화단 벽 체 하진 출입구 보행 저해 시설 가로 보행 유효 축소 업무 가로 상업 가로 생활 가로 특화 가로 가로 특성 천편일률 건물 전면 보행자 흥미 유발 보행 활성 기여 공공 중시 뉴욕 보행 환경 정책 뉴욕 보행 환경 정책 보행 활동 수용 공공 가로 세계 인식 지향 기존 가로 경관 유지 건축 후퇴 선 관리 가로 벽 건물 전면 보행 활성 기여 정도 인센티브 부여 이상 공공 광장 제외 건물 전면 인센티브 제공 건물 전면 형태 기능 디자인 가이드라인 규제 가로 아이덴티티 형성 규제 중첩 시행 건물 전면 가로 설계 수단 활용 향후 서울 보행 환경 정책 건물 전면 형태 기능 선진 집중 필요 건물 전면 가로 설계 수단 활용 커뮤니티 아이덴티티 창출 디자인 개념 도입 건물 전면 형태 기능 디자인 가이드라인 수립 보행 활성 기여도 차등 인센티브 적용 건물 전면 효율 관리 공적 관리 대장 건물 전면 디테일 포함 건물 전면 통합 관리 시스템 구축 
406	2012	정보화 시대 문화 시대 변화 물질 가치 인간 지적 가치 중요시 변화 소통 장 공공 환경 질 향상 변화 공공 변화 인간 개인 가치 소통 공공시설 관심 디자인 측면 정서 공감 감성 환경 인식 현대 공공 사람 욕구 만족 추구 개성 감성 경향 공공 일방 상징 조형 기능 시설 사람 욕구 실정 공공 개념 공공 유형 유형 감성 디자인 특성 유형 상징 정체성 소통 분석 감각 상징 유기성 감성 디자인 특성 도출 공공 도시 공원 문화 시설 사례 감성 특성 분석 결과 도시 공원 문화 사례 소통 유형 이미지 상징 의미 역할 상호 교류 소통 유형 공공 감각 감성 교감 체험 감성 특징 
407	2015	도시 물 순환 광교신도시 거주자 평가 
408	2012	도시 적 주 삶의 질 접근성 
409	2014	본고 미주 지역 재미 인문학 한민족 디아스포라 문학 형태 간주 접근 디아스포라 문학 범주 설정 오늘날 디아스포라 양상 자체 확산 미주 지역 이민 문화 부산물 재미 인문학 의미 한민족 디아스포라 형태 박남수 이주 이후 생 본질 실존 탐구 지속 과정 디아스포라 문학 재미 한인 문단 실정 관계 박남수 문학 이력 자체 박남수 시 미주 지역 디아스포라 문학 필수 전제 이주 이후 박남수 시 세계 인종 경계 양상 충돌 다각도 인종 지평 결과 한민족 디아스포라 운명 유비 특유 문학 지평 형성 디아스포라 사건 형상화 양상 한민족 디아스포라 문학 관점 조명 박남수 시 한민족 디아스포라 주민 정체성 구성 점 반증 박남수 시 재미 인문학 전 유해 문학 주제 정체 문학 장 메커니즘 활성 방안 제공 재미 인문학 국문학 시 의적 의미 재미 인문학 장 민족 국가 단위 설정 국문학 외연 확장 민족 공동체 근대 사유 물리 기제일 박남수 시 시인 삶 시적 주제 미주 지역 디아스포라 문학 대표 실정 의미 박남수 시 디아스포라 재미 인문학 사건 민족 정체성 
410	2011	화장 시설 경관 이미지 경관 연출 자연 요소 상징 Natural Elements 
411	2014	한국 사회 피로 사회 불신 사회 허기 사회 건조 문화 분위기 시각 이미지 존재 방식 전환 시 지각 경험 조건 촉발 흐름 사진작가 최민식 사진 이미지 문화 기저 공동 존재 시대정신 환기 최민식 사진 이미지 문화 기저 공동 존재 감응 시각 사유 근대 감각 정서 봉합 신자유주의 문화 압력 감각 정서 감응 문화 기후학 충격 환기 최민식 사진 이미지 시대 위기 징후 잃어버린 세계 복원 공동체 문화 기억 인류애 환기 방식 풍경 감각 정서 촉발 사진 이미지 근대 추방 인간 진실 삶 풍경 시대정신 문화 에토스 공동체 인류애 기억 방식 감각 정서 충격 환기 문화 분위기 최민식 사진 이미지 감각 봉합 환기 공동 존재 풍경 삶 복원 
412	2014	근대 문학 낙동강 표상 장 소감 애 무장 소성 
413	2013	위계 중도 시로 구획 원산 면모 식민 도시 전형 모습 이중 도시 개념 확장 식민지 도시 다중 경험 관련 정체성 간 협상 확장 도시 의미 조명 원산 지리 특징 근대 도시 당대 식민지 조선 대표 휴양지 정체성 원산 인근 방 석왕사 연계 식민지 조선 대표 관광지 피서지 원산 정체성 표상 주체 위치 시선 양상 조명 정체성 유동 기억 구성 파편 뉘앙스 여정 휴식 사이에서 이동 결과 경계 구성 휴양지 원산 표상 최종 정체성 단계 동력학 이해 원산 표상 변전 제국 식민지 경계 젠더 경계 계급 경계 연결 횡단 정체성 근대 교통 시스템 관광 여가 문화 휴양지 구성 원산 정체성 사회 위계 강화 표상 시스템 정체성 구성 점 기억 필요 제국주의 이후 발생 근대 도시 변화 제국 지배 흔적 문화 실천 생산 지배 발생 미디어 표상 작업 구성 원산 명소 휴양지 근대 도시 정체성 
414	2016	논문 목적 1930년대 신문 잡지 기사 거리 표상 변화 당대 개별 주체 전근대 근대 길항 교착 인식 규명 근대 초기 거리 물리 구현 근대성 도시 오랫동안 전근대 삶 양식 사람 낯선 사람 신문 잡지 소문 이야기 간접 거리 물리 구현 근대성 도시 경험 신문 잡지 기사 근대 도시 표상 거리 묘사 방식 근대성 도시 경험 이해 양상 경험 이해 개별 주체 외적 변화 실상 1920년대 신문 잡지 실업 가난 집 거리 조선인 기사 일제 진행 자본주의 근대 도시화 차별 1930년대 중반 이후 거리 사람 즐거움 그리움 애착 대상 거리 자본주의 근대 도시 표상 이자 근대 주체 일상생활 성격 거리 도시 근대성 도시 표상 
415	2014	소설 문학 배경 서사 논리 해명 점 복합 시선 요청 논문 한국 소설 해인사 궁극 목표 소설 작품 해인사 재현 작품 해인사 정체성 고찰 고전 소설 중 당대 현실 문제 제기 허균 홍길동전 조선 후기 종교 권력 기강 해이 비판 사회의식 이병주 관부 연락선 일제 강점 말과 해 방기 남한 단독 정부 수립 현대사 관통 주인공 신화 죽음 개인 희생 죽음 역사 실체 밀착 해인사 포스트모더니즘 소설 반향 하일지 경마장 가는 길 의식 고양 삶 가치 수립 장정일 너에게 나를 보낸다 성의 상품 허무 도정 글쓰기 해인사 소설 해인사 시대 의식 반영 서사 지향 개인 의식 반영 현대 감각 변화 해인사 합천 한국 소설 정체성 
416	2015	오늘날 농촌 녹색 복지 실현 장 역할 증대 농촌 다운 양호 경관 형성 시도 농촌 경관 자연 생태 요소 인공 요소 부조화 농촌 경관 시각 질 실정 농촌 경관 부여 농촌 경관 이미지 좌우 경관 시설 중 버스 정류장 대상 버스 정류장 물리 디자인 특성 형태 재료 색채 특성 분석 시행 분석 결과 행정 구역 버스 정류장 디자인 특성 패턴 농촌 지역 풍토 결여 일반 기능 위주 도시 환경 이미지 형성 디자인 특성 농촌 지역 농촌 지역 정취 개성 결여 경향 분석 농촌 버스 정류장 디자인 계획 농촌 자연 이미지 농촌 지역 정체성 반영 형태 재료 색채 디자인 구성 요소 종합 계획 사료 디자인 현황 바탕 디자인 특성 문제점 추출 농촌 경관 가치 인식 계기 농촌 지역 버스 정류장 디자인 활용 필요 기초 자료 제공 의의 
417	2016	배경 제주 올레길 지리산 둘레길 시작 길 관광 가치 역사 문화 농촌 마을 길 둘레길 탐방 조성 길 농촌 어메니티 마을 길 활용 농촌 마을 특색 실정 방법 스토리텔링 개념 적용 동향 파악 스토리텔링 대표 맥락 바탕 농촌 적용 과정 선정 단계 자산 분석 대상 지 현 황 분석 물리 환경 요소 인적 문화 요소 상징 요소 가지 분류 분석 단계 스토리 발굴 과정 자산 분석 분석 내용 중심 대표 스토리 발굴 스토리 테마 추출 과정 마지막 단계 구성은 지형도 항공사진 구성 결과 도리 마을 자산 생태 역사 자산 분석 대표 스토리 여강 길 코스 도리 마을 연결 과거 시험 길 테마 도리 마을 생태 관광 연결 스토리 발굴 대표 스토리 마을 길 적용 선비 길 걷기 양반 체험 프로그램 개발 도리 마을 관통 과거 길 마을 길 적용 조성 계획 수립 결론 위 기존 농촌 마을 길 차별 길 조성 농촌 마을 경쟁력 강화 생각 향후 스토리텔링 구현 전략 활용 가치 농촌 마을 의미 초석 기대 농촌 체험 마을 농촌 마을 마을 길 스토리텔링 길 
